arm,subset,family,n,executed,metric,estimate,numerator,denominator,ci95_low,ci95_high
A,canonical,I5,24,24,IAR,0.0,0,24,0.0,0.0
A,canonical,I5,24,24,IDR,1.0,24,24,1.0,1.0
A,canonical,I5,24,24,IDR_indet,,0,0,,
A,canonical,I5,24,24,coverage,1.0,24,24,1.0,1.0
A,canonical,I5,24,24,abstention,0.0,0,24,0.0,0.0
A,canonical,I5,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,canonical,I5,24,24,accuracy,1.0,24,24,1.0,1.0
A,canonical,I6,24,24,VAR,,0,0,,
A,canonical,I6,24,24,VRR,,0,0,,
A,canonical,I6,24,24,VIR,,0,0,,
A,canonical,I6,24,24,IAR,1.0,24,24,1.0,1.0
A,canonical,I6,24,24,IDR,0.0,0,24,0.0,0.0
A,canonical,I6,24,24,IDR_indet,,0,0,,
A,canonical,I6,24,24,coverage,1.0,24,24,1.0,1.0
A,canonical,I6,24,24,abstention,0.0,0,24,0.0,0.0
A,canonical,I6,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,canonical,I6,24,24,accuracy,0.0,0,24,0.0,0.0
A,canonical,I7,24,24,VAR,,0,0,,
A,canonical,I7,24,24,VRR,,0,0,,
A,canonical,I7,24,24,VIR,,0,0,,
A,canonical,I7,24,24,IAR,1.0,24,24,1.0,1.0
A,canonical,I7,24,24,IDR,0.0,0,24,0.0,0.0
A,canonical,I7,24,24,IDR_indet,,0,0,,
A,canonical,I7,24,24,coverage,1.0,24,24,1.0,1.0
A,canonical,I7,24,24,abstention,0.0,0,24,0.0,0.0
A,canonical,I7,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,canonical,I7,24,24,accuracy,0.0,0,24,0.0,0.0
A,canonical,I8,24,24,VAR,,0,0,,
A,canonical,I8,24,24,VRR,,0,0,,
A,canonical,I8,24,24,VIR,,0,0,,
A,canonical,I8,24,24,IAR,0.0,0,24,0.0,0.0
A,canonical,I8,24,24,IDR,1.0,24,24,1.0,1.0
A,canonical,I8,24,24,IDR_indet,,0,0,,
A,canonical,I8,24,24,coverage,1.0,24,24,1.0,1.0
A,canonical,I8,24,24,abstention,0.0,0,24,0.0,0.0
A,canonical,I8,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,canonical,I8,24,24,accuracy,1.0,24,24,1.0,1.0
A,canonical,I9,24,24,VAR,,0,0,,
A,canonical,I9,24,24,VRR,,0,0,,
A,canonical,I9,24,24,VIR,,0,0,,
A,canonical,I9,24,24,IAR,1.0,24,24,1.0,1.0
A,canonical,I9,24,24,IDR,0.0,0,24,0.0,0.0
A,canonical,I9,24,24,IDR_indet,,0,0,,
A,canonical,I9,24,24,coverage,1.0,24,24,1.0,1.0
A,canonical,I9,24,24,abstention,0.0,0,24,0.0,0.0
A,canonical,I9,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,canonical,I9,24,24,accuracy,0.0,0,24,0.0,0.0
A,canonical,L1,24,24,VAR,1.0,24,24,1.0,1.0
A,canonical,L1,24,24,VRR,0.0,0,24,0.0,0.0
A,canonical,L1,24,24,VIR,0.0,0,24,0.0,0.0
A,canonical,L1,24,24,IAR,,0,0,,
A,canonical,L1,24,24,IDR,,0,0,,
A,canonical,L1,24,24,IDR_indet,,0,0,,
A,canonical,L1,24,24,coverage,1.0,24,24,1.0,1.0
A,canonical,L1,24,24,abstention,0.0,0,24,0.0,0.0
A,canonical,L1,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,canonical,L1,24,24,accuracy,1.0,24,24,1.0,1.0
A,canonical,L10,24,24,VAR,1.0,24,24,1.0,1.0
A,canonical,L10,24,24,VRR,0.0,0,24,0.0,0.0
A,canonical,L10,24,24,VIR,0.0,0,24,0.0,0.0
A,canonical,L10,24,24,IAR,,0,0,,
A,canonical,L10,24,24,IDR,,0,0,,
A,canonical,L10,24,24,IDR_indet,,0,0,,
A,canonical,L10,24,24,coverage,1.0,24,24,1.0,1.0
A,canonical,L10,24,24,abstention,0.0,0,24,0.0,0.0
A,canonical,L10,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,canonical,L10,24,24,accuracy,1.0,24,24,1.0,1.0
A,canonical,L2,24,24,VAR,0.0,0,24,0.0,0.0
A,canonical,L2,24,24,VRR,1.0,24,24,1.0,1.0
A,canonical,L2,24,24,VIR,0.0,0,24,0.0,0.0
A,canonical,L2,24,24,IAR,,0,0,,
A,canonical,L2,24,24,IDR,,0,0,,
A,canonical,L2,24,24,IDR_indet,,0,0,,
A,canonical,L2,24,24,coverage,1.0,24,24,1.0,1.0
A,canonical,L2,24,24,abstention,0.0,0,24,0.0,0.0
A,canonical,L2,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,canonical,L2,24,24,accuracy,0.0,0,24,0.0,0.0
A,canonical,L3,24,24,VAR,0.875,21,24,0.75,1.0
A,canonical,L3,24,24,VRR,0.125,3,24,0.0,0.25
A,canonical,L3,24,24,VIR,0.0,0,24,0.0,0.0
A,canonical,L3,24,24,IAR,,0,0,,
A,canonical,L3,24,24,IDR,,0,0,,
A,canonical,L3,24,24,IDR_indet,,0,0,,
A,canonical,L3,24,24,coverage,1.0,24,24,1.0,1.0
A,canonical,L3,24,24,abstention,0.0,0,24,0.0,0.0
A,canonical,L3,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,canonical,L3,24,24,accuracy,0.875,21,24,0.75,1.0
A,canonical,L4,24,24,VAR,1.0,24,24,1.0,1.0
A,canonical,L4,24,24,VRR,0.0,0,24,0.0,0.0
A,canonical,L4,24,24,VIR,0.0,0,24,0.0,0.0
A,canonical,L4,24,24,IAR,,0,0,,
A,canonical,L4,24,24,IDR,,0,0,,
A,canonical,L4,24,24,IDR_indet,,0,0,,
A,canonical,L4,24,24,coverage,1.0,24,24,1.0,1.0
A,canonical,L4,24,24,abstention,0.0,0,24,0.0,0.0
A,canonical,L4,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,canonical,L4,24,24,accuracy,1.0,24,24,1.0,1.0
A,canonical,L5,24,24,VAR,0.0,0,24,0.0,0.0
A,canonical,L5,24,24,VRR,1.0,24,24,1.0,1.0
A,canonical,L5,24,24,VIR,0.0,0,24,0.0,0.0
A,canonical,L5,24,24,IAR,,0,0,,
A,canonical,L5,24,24,IDR,,0,0,,
A,canonical,L5,24,24,IDR_indet,,0,0,,
A,canonical,L5,24,24,coverage,1.0,24,24,1.0,1.0
A,canonical,L5,24,24,abstention,0.0,0,24,0.0,0.0
A,canonical,L5,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,canonical,L5,24,24,accuracy,0.0,0,24,0.0,0.0
A,canonical,L6,24,24,VAR,1.0,24,24,1.0,1.0
A,canonical,L6,24,24,VRR,0.0,0,24,0.0,0.0
A,canonical,L6,24,24,VIR,0.0,0,24,0.0,0.0
A,canonical,L6,24,24,IAR,,0,0,,
A,canonical,L6,24,24,IDR,,0,0,,
A,canonical,L6,24,24,IDR_indet,,0,0,,
A,canonical,L6,24,24,coverage,1.0,24,24,1.0,1.0
A,canonical,L6,24,24,abstention,0.0,0,24,0.0,0.0
A,canonical,L6,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,canonical,L6,24,24,accuracy,1.0,24,24,1.0,1.0
A,canonical,L7,24,24,VAR,1.0,24,24,1.0,1.0
A,canonical,L7,24,24,VRR,0.0,0,24,0.0,0.0
A,canonical,L7,24,24,VIR,0.0,0,24,0.0,0.0
A,canonical,L7,24,24,IAR,,0,0,,
A,canonical,L7,24,24,IDR,,0,0,,
A,canonical,L7,24,24,IDR_indet,,0,0,,
A,canonical,L7,24,24,coverage,1.0,24,24,1.0,1.0
A,canonical,L7,24,24,abstention,0.0,0,24,0.0,0.0
A,canonical,L7,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,canonical,L7,24,24,accuracy,1.0,24,24,1.0,1.0
A,canonical,L8,24,24,VAR,1.0,24,24,1.0,1.0
A,canonical,L8,24,24,VRR,0.0,0,24,0.0,0.0
A,canonical,L8,24,24,VIR,0.0,0,24,0.0,0.0
A,canonical,L8,24,24,IAR,,0,0,,
A,canonical,L8,24,24,IDR,,0,0,,
A,canonical,L8,24,24,IDR_indet,,0,0,,
A,canonical,L8,24,24,coverage,1.0,24,24,1.0,1.0
A,canonical,L8,24,24,abstention,0.0,0,24,0.0,0.0
A,canonical,L8,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,canonical,L8,24,24,accuracy,1.0,24,24,1.0,1.0
A,canonical,L9,24,24,VAR,1.0,24,24,1.0,1.0
A,canonical,L9,24,24,VRR,0.0,0,24,0.0,0.0
A,canonical,L9,24,24,VIR,0.0,0,24,0.0,0.0
A,canonical,L9,24,24,IAR,,0,0,,
A,canonical,L9,24,24,IDR,,0,0,,
A,canonical,L9,24,24,IDR_indet,,0,0,,
A,canonical,L9,24,24,coverage,1.0,24,24,1.0,1.0
A,canonical,L9,24,24,abstention,0.0,0,24,0.0,0.0
A,canonical,L9,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,canonical,L9,24,24,accuracy,1.0,24,24,1.0,1.0
A,single_fault,D1,72,72,VAR,,0,0,,
A,single_fault,D1,72,72,VRR,,0,0,,
A,single_fault,D1,72,72,VIR,,0,0,,
A,single_fault,D1,72,72,IAR,,0,0,,
A,single_fault,D1,72,72,IDR,,0,0,,
A,single_fault,D1,72,72,IDR_indet,0.0,0,72,0.0,0.0
A,single_fault,D1,72,72,coverage,1.0,72,72,1.0,1.0
A,single_fault,D1,72,72,abstention,0.0,0,72,0.0,0.0
A,single_fault,D1,72,72,decision_coverage,1.0,72,72,1.0,1.0
