disabled,case,n,baseline_misclassified,misclassified,incorrectly_admitted,newly_misclassified
I_norm,provenance_missing,24,0,0,0,0
I_norm,provenance_unavailable,24,0,0,0,0
I_norm,state_application,24,0,0,0,0
I_norm,historical,24,0,0,0,0
I_norm,temporal,24,0,0,0,0
I_norm,belief,24,0,0,0,0
I_norm,relational,24,0,0,0,0
I_norm,normative,24,0,24,24,24
I_norm,attestation_conflict,24,0,0,0,0
I_norm,attestation_missing,24,0,0,0,0
I_norm,attestation_binding,24,0,0,0,0
I_prov,all,480,0,72,72,72
I_prov,lineage_binding,24,0,0,0,0
I_prov,scope,24,0,0,0,0
I_prov,receipt_binding,24,0,0,0,0
I_prov,receipt_signature,24,0,0,0,0
I_prov,head_contradiction,24,0,0,0,0
I_prov,head_missing,24,0,0,0,0
I_prov,authority,24,0,0,0,0
I_prov,authority_missing,24,0,0,0,0
I_prov,provenance,24,0,24,24,24
I_prov,provenance_missing,24,0,24,24,24
I_prov,provenance_unavailable,24,0,24,24,24
I_prov,state_application,24,0,0,0,0
I_prov,historical,24,0,0,0,0
I_prov,temporal,24,0,0,0,0
I_prov,belief,24,0,0,0,0
I_prov,relational,24,0,0,0,0
I_prov,normative,24,0,0,0,0
I_prov,attestation_conflict,24,0,0,0,0
I_prov,attestation_missing,24,0,0,0,0
I_prov,attestation_binding,24,0,0,0,0
state_application,all,480,0,24,24,24
state_application,lineage_binding,24,0,0,0,0
state_application,scope,24,0,0,0,0
state_application,receipt_binding,24,0,0,0,0
state_application,receipt_signature,24,0,0,0,0
state_application,head_contradiction,24,0,0,0,0
state_application,head_missing,24,0,0,0,0
state_application,authority,24,0,0,0,0
state_application,authority_missing,24,0,0,0,0
state_application,provenance,24,0,0,0,0
state_application,provenance_missing,24,0,0,0,0
state_application,provenance_unavailable,24,0,0,0,0
state_application,state_application,24,0,24,24,24
state_application,historical,24,0,0,0,0
state_application,temporal,24,0,0,0,0
state_application,belief,24,0,0,0,0
state_application,relational,24,0,0,0,0
state_application,normative,24,0,0,0,0
state_application,attestation_conflict,24,0,0,0,0
state_application,attestation_missing,24,0,0,0,0
state_application,attestation_binding,24,0,0,0,0
attestation_resolution,all,480,0,72,72,72
attestation_resolution,lineage_binding,24,0,0,0,0
attestation_resolution,scope,24,0,0,0,0
attestation_resolution,receipt_binding,24,0,0,0,0
attestation_resolution,receipt_signature,24,0,0,0,0
attestation_resolution,head_contradiction,24,0,0,0,0
attestation_resolution,head_missing,24,0,0,0,0
attestation_resolution,authority,24,0,0,0,0
attestation_resolution,authority_missing,24,0,0,0,0
attestation_resolution,provenance,24,0,0,0,0
attestation_resolution,provenance_missing,24,0,0,0,0
attestation_resolution,provenance_unavailable,24,0,0,0,0
attestation_resolution,state_application,24,0,0,0,0
attestation_resolution,historical,24,0,0,0,0
attestation_resolution,temporal,24,0,0,0,0
attestation_resolution,belief,24,0,0,0,0
attestation_resolution,relational,24,0,0,0,0
attestation_resolution,normative,24,0,0,0,0
attestation_resolution,attestation_conflict,24,0,24,24,24
attestation_resolution,attestation_missing,24,0,24,24,24
attestation_resolution,attestation_binding,24,0,24,24,24
