arm,subset,ground_truth,prediction,count
C,compound_fault,INDETERMINATE,INDETERMINATE,0
C,compound_fault,INDETERMINATE,UNAVAILABLE,0
C,all,VALID,VALID,0
C,all,VALID,INVALID,0
C,all,VALID,INDETERMINATE,0
C,all,VALID,UNAVAILABLE,240
C,all,INVALID,VALID,0
C,all,INVALID,INVALID,0
C,all,INVALID,INDETERMINATE,0
C,all,INVALID,UNAVAILABLE,672
C,all,INDETERMINATE,VALID,0
C,all,INDETERMINATE,INVALID,0
C,all,INDETERMINATE,INDETERMINATE,0
C,all,INDETERMINATE,UNAVAILABLE,240
D,canonical,VALID,VALID,240
D,canonical,VALID,INVALID,0
D,canonical,VALID,INDETERMINATE,0
D,canonical,VALID,UNAVAILABLE,0
D,canonical,INVALID,VALID,192
D,canonical,INVALID,INVALID,48
D,canonical,INVALID,INDETERMINATE,0
D,canonical,INVALID,UNAVAILABLE,0
D,canonical,INDETERMINATE,VALID,72
D,canonical,INDETERMINATE,INVALID,0
D,canonical,INDETERMINATE,INDETERMINATE,24
D,canonical,INDETERMINATE,UNAVAILABLE,0
D,single_fault,VALID,VALID,0
D,single_fault,VALID,INVALID,0
D,single_fault,VALID,INDETERMINATE,0
D,single_fault,VALID,UNAVAILABLE,0
D,single_fault,INVALID,VALID,216
D,single_fault,INVALID,INVALID,120
D,single_fault,INVALID,INDETERMINATE,0
D,single_fault,INVALID,UNAVAILABLE,0
D,single_fault,INDETERMINATE,VALID,120
D,single_fault,INDETERMINATE,INVALID,0
D,single_fault,INDETERMINATE,INDETERMINATE,24
D,single_fault,INDETERMINATE,UNAVAILABLE,0
D,compound_fault,VALID,VALID,0
D,compound_fault,VALID,INVALID,0
D,compound_fault,VALID,INDETERMINATE,0
D,compound_fault,VALID,UNAVAILABLE,0
D,compound_fault,INVALID,VALID,96
D,compound_fault,INVALID,INVALID,0
D,compound_fault,INVALID,INDETERMINATE,0
D,compound_fault,INVALID,UNAVAILABLE,0
D,compound_fault,INDETERMINATE,VALID,0
D,compound_fault,INDETERMINATE,INVALID,0
D,compound_fault,INDETERMINATE,INDETERMINATE,0
D,compound_fault,INDETERMINATE,UNAVAILABLE,0
D,all,VALID,VALID,240
D,all,VALID,INVALID,0
D,all,VALID,INDETERMINATE,0
D,all,VALID,UNAVAILABLE,0
D,all,INVALID,VALID,504
D,all,INVALID,INVALID,168
D,all,INVALID,INDETERMINATE,0
D,all,INVALID,UNAVAILABLE,0
D,all,INDETERMINATE,VALID,192
D,all,INDETERMINATE,INVALID,0
D,all,INDETERMINATE,INDETERMINATE,48
D,all,INDETERMINATE,UNAVAILABLE,0
E,canonical,VALID,VALID,240
E,canonical,VALID,INVALID,0
E,canonical,VALID,INDETERMINATE,0
E,canonical,VALID,UNAVAILABLE,0
E,canonical,INVALID,VALID,0
E,canonical,INVALID,INVALID,240
E,canonical,INVALID,INDETERMINATE,0
E,canonical,INVALID,UNAVAILABLE,0
E,canonical,INDETERMINATE,VALID,0
E,canonical,INDETERMINATE,INVALID,0
E,canonical,INDETERMINATE,INDETERMINATE,96
